,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,55.44%,34.53%,32.57%,30.96%,29.68%,26.84%,25.71%,24.66%,23.65%,24.13%,23.59%,22.91%,22.26%
K,31.35%,49.39%,31.39%,29.89%,28.57%,26.0%,23.73%,22.87%,22.12%,21.3%,20.87%,20.23%,19.8%
Q,29.25%,28.21%,44.37%,29.04%,27.8%,25.2%,23.11%,21.3%,20.38%,19.81%,19.2%,18.85%,18.4%
J,27.56%,26.51%,25.76%,39.87%,27.53%,24.73%,22.71%,20.86%,19.15%,18.45%,18.09%,17.6%,17.18%
T,26.09%,25.13%,24.44%,24.03%,35.79%,24.75%,22.81%,20.77%,19.19%,17.35%,17.11%,16.79%,16.32%
9,23.08%,22.08%,21.46%,21.16%,21.16%,32.13%,22.35%,20.83%,19.13%,17.44%,16.05%,15.75%,15.41%
8,21.73%,19.69%,19.19%,19.04%,19.15%,18.88%,29.09%,20.95%,19.46%,17.81%,16.31%,14.98%,14.6%
7,20.58%,18.84%,17.11%,16.91%,16.97%,17.2%,17.21%,26.54%,19.57%,18.33%,16.71%,15.29%,13.96%
6,19.53%,18.1%,16.4%,14.97%,15.17%,15.23%,15.56%,15.83%,23.89%,18.56%,17.23%,15.89%,14.48%
5,19.98%,17.05%,15.69%,14.46%,13.32%,13.63%,13.85%,14.28%,14.82%,22.08%,17.86%,16.62%,15.19%
4,19.42%,16.61%,14.92%,13.9%,12.83%,11.95%,12.17%,12.61%,13.3%,14.13%,20.29%,15.96%,15.08%
3,18.89%,15.97%,14.65%,13.33%,12.39%,11.51%,10.6%,11.28%,11.76%,12.57%,11.97%,18.94%,14.3%
2,18.13%,15.51%,14.04%,12.94%,11.99%,10.97%,10.29%,9.72%,10.29%,11.14%,10.63%,10.11%,17.45%
