,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,63.37%,40.6%,38.85%,37.11%,35.89%,33.11%,31.67%,30.64%,29.42%,29.87%,29.16%,28.26%,27.67%
K,37.53%,57.72%,37.12%,35.79%,34.31%,31.56%,29.24%,28.39%,27.33%,26.52%,25.79%,25.24%,24.65%
Q,35.56%,34.23%,53.02%,34.51%,33.32%,30.45%,28.26%,26.19%,25.29%,24.59%,24.02%,23.41%,22.61%
J,34.11%,32.38%,31.65%,48.76%,32.74%,30.15%,27.79%,25.81%,23.79%,23.06%,22.43%,21.93%,21.36%
T,32.47%,31.01%,30.03%,29.44%,44.73%,29.62%,27.43%,25.46%,23.51%,21.8%,21.2%,20.79%,20.23%
9,29.54%,28.05%,26.95%,26.63%,26.34%,40.75%,27.4%,25.37%,23.51%,21.62%,19.89%,19.54%,19.02%
8,28.11%,25.61%,24.65%,24.14%,24.19%,23.83%,37.34%,25.45%,23.64%,21.98%,20.16%,18.68%,18.21%
7,26.87%,24.42%,22.28%,21.93%,21.77%,21.55%,21.83%,34.05%,23.81%,22.14%,20.58%,18.82%,17.19%
6,25.6%,23.41%,21.45%,19.87%,19.87%,19.66%,19.93%,20.01%,31.25%,22.52%,20.88%,19.4%,17.77%
5,26.07%,22.57%,20.56%,19.05%,17.64%,17.72%,17.92%,18.24%,18.63%,28.49%,21.45%,20.02%,18.38%
4,25.17%,21.91%,19.89%,18.42%,17.2%,15.85%,16.17%,16.54%,17.12%,17.56%,26.01%,19.34%,17.89%
3,24.3%,21.05%,19.28%,17.85%,16.54%,15.4%,14.44%,14.74%,15.21%,16.05%,15.29%,23.66%,17.31%
2,23.53%,20.32%,18.56%,17.12%,15.94%,14.77%,13.98%,13.02%,13.47%,14.3%,13.83%,13.08%,21.72%
