,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,73.16%,49.76%,48.36%,47.06%,45.71%,42.96%,41.82%,40.56%,39.19%,39.56%,38.36%,37.59%,36.77%
K,47.21%,68.55%,46.14%,44.64%,43.64%,40.89%,38.44%,37.6%,36.59%,35.46%,34.68%,33.9%,33.11%
Q,45.68%,43.16%,64.54%,43.17%,41.87%,39.41%,37.22%,34.8%,34.04%,32.9%,32.2%,31.41%,30.64%
J,44.27%,41.82%,40.36%,60.94%,40.62%,38.18%,35.99%,33.73%,31.57%,31.02%,30.18%,29.46%,28.69%
T,42.87%,40.55%,38.79%,37.71%,57.12%,37.48%,35.24%,33.17%,31.29%,29.06%,28.59%,27.73%,27.15%
9,39.82%,37.98%,35.99%,34.93%,34.18%,53.12%,34.55%,32.51%,30.64%,28.65%,26.81%,26.24%,25.47%
8,38.79%,35.37%,33.7%,32.58%,31.99%,31.17%,49.61%,32.26%,30.55%,28.4%,26.65%,24.8%,24.34%
7,37.31%,34.22%,31.45%,30.2%,29.7%,29.03%,28.91%,46.1%,30.47%,28.54%,26.72%,24.96%,23.12%
6,35.99%,32.97%,30.25%,28.01%,27.46%,26.93%,26.93%,26.86%,42.93%,28.77%,26.97%,25.2%,23.35%
5,36.02%,32.07%,29.58%,27.3%,25.36%,24.73%,24.86%,24.9%,25.27%,39.69%,27.63%,25.7%,24.07%
4,35.17%,30.98%,28.41%,26.44%,24.58%,22.76%,22.72%,22.9%,23.19%,23.93%,36.4%,24.98%,23.4%
3,34.15%,30.13%,27.5%,25.55%,23.72%,22.3%,20.79%,20.92%,21.19%,21.93%,21.01%,33.32%,22.6%
2,33.32%,29.2%,26.85%,24.66%,23.04%,21.48%,20.21%,19.1%,19.28%,20.0%,19.28%,18.43%,30.14%
