,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,48.8%,29.98%,28.24%,26.72%,25.23%,22.75%,21.73%,20.64%,19.77%,20.5%,19.85%,19.59%,19.0%
K,26.72%,42.62%,27.34%,25.73%,24.57%,21.99%,19.91%,19.16%,18.46%,17.86%,17.41%,17.08%,16.79%
Q,24.68%,23.91%,37.47%,25.13%,23.92%,21.24%,19.52%,17.69%,17.03%,16.62%,16.19%,15.87%,15.58%
J,23.05%,22.32%,21.6%,33.18%,23.53%,21.12%,19.32%,17.61%,16.0%,15.51%,15.14%,14.65%,14.5%
T,21.6%,20.85%,20.45%,20.34%,29.34%,21.29%,19.3%,17.75%,16.03%,14.74%,14.41%,14.04%,13.8%
9,18.63%,18.04%,17.68%,17.47%,17.62%,26.18%,19.2%,17.73%,16.18%,14.69%,13.43%,13.24%,12.99%
8,17.55%,15.96%,15.5%,15.48%,15.73%,15.48%,23.61%,18.03%,16.52%,15.19%,13.76%,12.65%,12.4%
7,16.48%,15.19%,13.71%,13.54%,13.64%,13.79%,14.03%,21.47%,16.82%,15.64%,14.33%,13.03%,12.0%
6,15.8%,14.25%,12.76%,11.92%,12.04%,12.26%,12.54%,13.12%,19.83%,15.92%,14.9%,13.65%,12.36%
5,16.21%,13.63%,12.3%,11.32%,10.5%,10.67%,11.12%,11.79%,12.22%,18.16%,15.56%,14.49%,13.19%
4,15.62%,13.14%,12.01%,10.99%,10.08%,9.23%,9.71%,10.21%,10.97%,11.55%,16.96%,13.96%,12.92%
3,15.07%,12.85%,11.51%,10.55%,9.71%,9.02%,8.47%,8.94%,9.73%,10.49%,9.92%,16.01%,12.41%
2,14.76%,12.5%,11.22%,10.27%,9.43%,8.7%,8.11%,7.56%,8.23%,9.2%,8.83%,8.24%,15.34%
