,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,33.99%,21.55%,19.84%,18.65%,17.54%,15.44%,14.64%,14.15%,13.62%,14.21%,13.89%,13.62%,13.25%
K,18.08%,28.65%,19.4%,18.18%,17.11%,15.07%,13.55%,13.21%,12.5%,12.24%,12.12%,11.95%,11.83%
Q,16.22%,15.77%,24.46%,17.65%,16.84%,14.69%,13.32%,12.02%,11.63%,11.3%,11.02%,10.88%,10.89%
J,14.74%,14.53%,14.12%,21.21%,16.88%,14.8%,13.32%,12.01%,10.74%,10.46%,10.4%,10.28%,10.21%
T,13.62%,13.44%,13.13%,13.29%,18.53%,14.96%,13.56%,12.22%,11.1%,9.96%,9.78%,9.69%,9.64%
9,11.23%,11.0%,10.91%,11.0%,11.43%,16.86%,13.56%,12.6%,11.51%,10.39%,9.4%,9.17%,9.01%
8,10.46%,9.39%,9.3%,9.4%,9.87%,9.94%,15.38%,12.85%,11.98%,10.79%,9.75%,8.8%,8.65%
7,9.76%,8.79%,7.81%,8.01%,8.38%,8.81%,9.24%,14.34%,12.38%,11.47%,10.41%,9.41%,8.43%
6,9.31%,8.37%,7.33%,6.62%,7.06%,7.46%,8.19%,8.71%,13.65%,11.88%,11.3%,10.1%,9.08%
5,9.86%,7.93%,7.1%,6.4%,5.86%,6.26%,6.96%,7.69%,8.32%,12.84%,11.7%,11.04%,9.89%
4,9.55%,7.76%,6.91%,6.28%,5.68%,5.29%,5.89%,6.64%,7.42%,8.07%,12.67%,10.46%,9.68%
3,9.25%,7.65%,6.74%,6.19%,5.64%,5.18%,4.84%,5.55%,6.35%,7.14%,6.78%,12.35%,9.33%
2,8.93%,7.52%,6.68%,6.05%,5.56%,5.03%,4.77%,4.53%,5.24%,6.14%,5.96%,5.57%,12.38%
