,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,38.28%,24.04%,22.11%,20.79%,19.57%,17.09%,16.47%,15.73%,15.1%,15.69%,15.35%,15.15%,14.73%
K,20.29%,32.4%,21.49%,20.12%,19.12%,16.92%,15.21%,14.75%,14.06%,13.7%,13.41%,13.26%,13.07%
Q,18.54%,17.96%,27.94%,19.59%,18.66%,16.52%,14.82%,13.44%,13.02%,12.58%,12.37%,12.22%,11.94%
J,16.96%,16.61%,16.12%,24.35%,18.5%,16.41%,14.78%,13.23%,12.18%,11.81%,11.57%,11.38%,11.24%
T,15.65%,15.28%,14.98%,14.99%,21.22%,16.57%,15.15%,13.58%,12.29%,11.13%,10.98%,10.65%,10.61%
9,13.3%,12.76%,12.58%,12.8%,12.91%,18.99%,14.89%,13.85%,12.57%,11.46%,10.36%,10.2%,9.98%
8,12.27%,11.07%,10.71%,10.89%,11.26%,11.26%,17.38%,14.02%,13.04%,11.88%,10.87%,9.86%,9.66%
7,11.48%,10.36%,9.31%,9.43%,9.65%,10.06%,10.39%,16.0%,13.4%,12.51%,11.37%,10.27%,9.27%
6,10.93%,9.82%,8.73%,7.93%,8.19%,8.73%,9.26%,9.72%,14.94%,12.92%,12.14%,11.01%,9.97%
5,11.45%,9.38%,8.29%,7.56%,6.95%,7.43%,8.01%,8.76%,9.24%,14.06%,12.73%,11.81%,10.79%
4,11.01%,8.94%,8.18%,7.34%,6.7%,6.26%,6.69%,7.51%,8.31%,8.98%,13.52%,11.35%,10.61%
3,10.77%,8.85%,7.89%,7.21%,6.63%,6.04%,5.69%,6.28%,7.2%,8.05%,7.53%,13.29%,10.03%
2,10.33%,8.73%,7.71%,6.96%,6.49%,5.92%,5.58%,5.26%,6.03%,6.88%,6.65%,6.28%,13.03%
