,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,43.03%,26.62%,24.84%,23.39%,21.96%,19.65%,18.66%,17.85%,17.21%,17.58%,17.27%,17.02%,16.46%
K,23.35%,37.09%,24.12%,22.69%,21.41%,19.22%,17.21%,16.65%,15.96%,15.42%,15.17%,14.88%,14.75%
Q,21.37%,20.57%,32.13%,22.07%,21.04%,18.56%,16.82%,15.35%,14.76%,14.32%,13.96%,13.69%,13.5%
J,19.56%,19.08%,18.51%,28.07%,20.89%,18.48%,16.78%,15.14%,13.75%,13.3%,13.24%,12.89%,12.6%
T,18.2%,17.88%,17.33%,17.38%,24.65%,18.45%,16.82%,15.24%,13.96%,12.69%,12.4%,12.14%,11.96%
9,15.39%,15.11%,14.8%,14.74%,14.92%,22.05%,16.68%,15.4%,14.19%,12.9%,11.65%,11.38%,11.28%
8,14.55%,13.15%,12.89%,12.87%,13.08%,13.06%,19.97%,15.63%,14.51%,13.18%,12.11%,11.0%,10.79%
7,13.56%,12.37%,11.15%,11.1%,11.41%,11.68%,12.0%,18.34%,14.81%,13.77%,12.75%,11.39%,10.41%
6,12.89%,11.64%,10.4%,9.61%,9.88%,10.22%,10.64%,11.1%,16.9%,14.21%,13.2%,12.2%,10.96%
5,13.51%,11.24%,10.09%,9.11%,8.44%,8.74%,9.29%,9.92%,10.44%,15.66%,13.91%,12.87%,11.77%
4,12.98%,10.79%,9.65%,8.88%,8.15%,7.35%,7.99%,8.81%,9.33%,9.97%,14.92%,12.47%,11.62%
3,12.7%,10.47%,9.49%,8.58%,7.91%,7.24%,6.81%,7.39%,8.22%,9.01%,8.5%,14.32%,11.12%
2,12.15%,10.3%,9.18%,8.39%,7.7%,6.97%,6.71%,6.28%,6.94%,7.78%,7.54%,7.13%,14.02%
